X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

5.0	5096
5.1	4370
5.2	3965
5.3	3481
5.4	3069
5.5	2599
5.6	2182
5.7	1909
5.8	1628
5.9	1366
6.0	1187
6.1	926
6.2	746
6.3	594
6.4	488
6.5	398
6.6	320
6.7	272
6.8	203
6.9	164
7.0	119
7.1	105
7.2	99
7.3	74
7.4	75
7.5	72
7.6	59
7.7	51
7.8	60
7.9	51
8.0	66
8.1	57
8.2	55
8.3	51
8.4	45
8.5	45
8.6	40
8.7	39
8.8	33
8.9	43
9.0	36
9.1	36
9.2	42
9.3	45
9.4	52
9.5	52
9.6	56
9.7	59
9.8	43
9.9	57
10.0	60
10.1	59
10.2	51
10.3	61
10.4	48
10.5	55
10.6	44
10.7	40
10.8	39
10.9	46
11.0	52
11.1	49
11.2	50
11.3	45
11.4	48
11.5	47
11.6	41
11.7	48
11.8	40
11.9	41
12.0	31
12.1	30
12.2	36
12.3	43
12.4	36
12.5	39
12.6	38
12.7	39
12.8	45
12.9	36
13.0	45
13.1	32
13.2	27
13.3	36
13.4	26
13.5	22
13.6	28
13.7	24
13.8	22
13.9	27
14.0	21
14.1	24
14.2	19
14.3	25
14.4	19
14.5	19
14.6	21
14.7	29
14.8	24
14.9	25
15.0	22
15.1	20
15.2	22
15.3	20
15.4	20
15.5	19
15.6	20
15.7	22
15.8	22
15.9	18
16.0	14
16.1	17
16.2	22
16.3	21
16.4	14
16.5	24
16.6	17
16.7	16
16.8	15
16.9	24
17.0	15
17.1	18
17.2	15
17.3	17
17.4	12
17.5	16
17.6	15
17.7	16
17.8	20
17.9	17
18.0	24
18.1	22
18.2	19
18.3	29
18.4	16
18.5	17
18.6	15
18.7	19
18.8	17
18.9	11
19.0	15
19.1	14
19.2	9
19.3	15
19.4	7
19.5	11
19.6	16
19.7	13
19.8	11
19.9	10
20.0	13
20.1	15
20.2	16
20.3	10
20.4	7
20.5	13
20.6	12
20.7	15
20.8	14
20.9	15
21.0	8
21.1	14
21.2	13
21.3	10
21.4	10
21.5	7
21.6	10
21.7	8
21.8	10
21.9	13
22.0	11
22.1	10
22.2	9
22.3	13
22.4	11
22.5	15
22.6	12
22.7	13
22.8	10
22.9	17
23.0	10
23.1	17
23.2	17
23.3	14
23.4	13
23.5	6
23.6	12
23.7	12
23.8	14
23.9	7
24.0	14
24.1	6
24.2	7
24.3	8
24.4	14
24.5	14
24.6	9
24.7	15
24.8	8
24.9	15
25.0	12
25.1	13
25.2	12
25.3	16
25.4	20
25.5	19
25.6	15
25.7	21
25.8	14
25.9	11
26.0	16
26.1	7
26.2	11
26.3	5
26.4	9
26.5	5
26.6	8
26.7	12
26.8	8
26.9	9
27.0	7
27.1	9
27.2	5
27.3	9
27.4	11
27.5	11
27.6	7
27.7	7
27.8	9
27.9	6
28.0	10
28.1	9
28.2	4
28.3	9
28.4	9
28.5	6
28.6	6
28.7	10
28.8	5
28.9	8
29.0	9
29.1	10
29.2	9
29.3	7
29.4	9
29.5	5
29.6	6
29.7	6
29.8	6
29.9	7
30.0	7
30.1	6
30.2	7
30.3	5
30.4	7
30.5	4
30.6	7
30.7	9
30.8	8
30.9	7
31.0	10
31.1	9
31.2	9
31.3	10
31.4	5
31.5	5
31.6	5
31.7	8
31.8	10
31.9	10
32.0	9
32.1	6
32.2	4
32.3	7
