X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

10.0	53
10.1	45
10.2	47
10.3	55
10.4	47
10.5	47
10.6	47
10.7	47
10.8	41
10.9	46
11.0	38
11.1	38
11.2	37
11.3	38
11.4	42
11.5	56
11.6	56
11.7	71
11.8	85
11.9	81
12.0	88
12.1	96
12.2	88
12.3	91
12.4	74
12.5	59
12.6	39
12.7	37
12.8	41
12.9	51
13.0	87
13.1	118
13.2	157
13.3	201
13.4	221
13.5	245
13.6	256
13.7	262
13.8	248
13.9	229
14.0	162
14.1	94
14.2	45
14.3	31
14.4	32
14.5	30
14.6	28
14.7	32
14.8	26
14.9	27
15.0	29
15.1	27
15.2	27
15.3	26
15.4	28
15.5	25
15.6	29
15.7	30
15.8	24
15.9	28
16.0	25
16.1	24
16.2	28
16.3	26
16.4	25
16.5	22
16.6	21
16.7	23
16.8	23
16.9	27
17.0	21
17.1	23
17.2	23
17.3	21
17.4	22
17.5	19
17.6	19
17.7	22
17.8	23
17.9	21
18.0	26
18.1	18
18.2	22
18.3	25
18.4	19
18.5	14
18.6	19
18.7	20
18.8	18
18.9	19
19.0	19
19.1	16
19.2	16
19.3	20
19.4	13
19.5	18
19.6	17
19.7	22
19.8	18
19.9	17
20.0	18
20.1	18
20.2	16
20.3	12
20.4	17
20.5	17
20.6	14
20.7	19
20.8	15
20.9	14
21.0	15
21.1	14
21.2	15
21.3	14
21.4	14
21.5	15
21.6	15
21.7	13
21.8	15
21.9	11
22.0	12
22.1	14
22.2	11
22.3	13
22.4	17
22.5	14
22.6	12
22.7	13
22.8	14
22.9	10
23.0	14
23.1	11
23.2	10
23.3	14
23.4	14
23.5	14
23.6	11
23.7	13
23.8	10
23.9	11
24.0	12
24.1	11
24.2	11
24.3	12
24.4	11
24.5	13
24.6	13
24.7	9
24.8	11
24.9	11
25.0	10
25.1	9
25.2	10
25.3	12
25.4	12
25.5	10
25.6	12
25.7	11
25.8	11
25.9	9
26.0	11
26.1	9
26.2	13
26.3	10
26.4	12
26.5	13
26.6	13
26.7	18
26.8	17
26.9	18
27.0	15
27.1	17
27.2	17
27.3	19
27.4	20
27.5	15
27.6	16
27.7	13
27.8	13
27.9	10
28.0	8
28.1	10
28.2	10
28.3	10
28.4	10
28.5	9
28.6	9
28.7	10
28.8	9
28.9	10
29.0	10
29.1	10
29.2	12
29.3	10
29.4	10
29.5	11
29.6	10
29.7	13
29.8	13
29.9	13
30.0	18
30.1	17
30.2	26
30.3	31
30.4	30
30.5	34
30.6	44
30.7	44
30.8	52
30.9	40
31.0	36
31.1	33
31.2	29
31.3	22
31.4	10
31.5	8
31.6	8
31.7	7
31.8	8
31.9	9
32.0	7
32.1	7
32.2	10
32.3	10
32.4	7
32.5	9
32.6	7
32.7	8
32.8	7
32.9	10
33.0	6
33.1	7
33.2	7
33.3	7
33.4	6
33.5	7
33.6	8
33.7	6
33.8	6
33.9	8
34.0	9
34.1	7
34.2	6
34.3	6
34.4	7
34.5	6
34.6	7
34.7	8
34.8	7
34.9	7
35.0	6
