X-ray (ID 01) / Crystal angle ?_c	X-ray (ID 01) / Impulse Imp
?_c/°	Imp/# / s

5.0	33
5.1	29
5.2	28
5.3	31
5.4	31
5.5	32
5.6	32
5.7	34
5.8	31
5.9	32
6.0	28
6.1	29
6.2	29
6.3	31
6.4	30
6.5	28
6.6	29
6.7	32
6.8	37
6.9	32
7.0	42
7.1	38
7.2	36
7.3	35
7.4	34
7.5	36
7.6	37
7.7	34
7.8	36
7.9	36
8.0	40
8.1	43
8.2	38
8.3	43
8.4	40
8.5	41
8.6	43
8.7	44
8.8	41
8.9	34
9.0	37
9.1	33
9.2	39
9.3	36
9.4	34
9.5	30
9.6	36
9.7	36
9.8	30
9.9	29
10.0	30
10.1	28
10.2	29
10.3	29
10.4	27
10.5	25
10.6	28
10.7	29
10.8	32
10.9	33
11.0	27
11.1	25
11.2	24
11.3	27
11.4	27
11.5	21
11.6	23
11.7	23
11.8	22
11.9	21
12.0	23
12.1	29
12.2	26
12.3	25
12.4	22
12.5	25
12.6	21
12.7	23
12.8	23
12.9	22
13.0	23
13.1	24
13.2	25
13.3	27
13.4	22
13.5	25
13.6	25
13.7	21
13.8	24
13.9	26
14.0	22
14.1	23
14.2	19
14.3	18
14.4	20
14.5	20
14.6	18
14.7	17
14.8	16
14.9	16
15.0	22
15.1	20
15.2	17
15.3	21
15.4	18
15.5	15
15.6	20
15.7	17
15.8	21
15.9	18
16.0	17
16.1	20
16.2	18
16.3	18
16.4	17
16.5	17
16.6	20
16.7	20
16.8	16
16.9	17
17.0	18
17.1	21
17.2	21
17.3	34
17.4	43
17.5	47
17.6	63
17.7	57
17.8	51
17.9	55
18.0	56
18.1	57
18.2	61
18.3	64
18.4	56
18.5	53
18.6	40
18.7	34
18.8	25
18.9	21
19.0	25
19.1	17
19.2	21
19.3	19
19.4	27
19.5	92
19.6	151
19.7	184
19.8	219
19.9	196
20.0	202
20.1	189
20.2	188
20.3	180
20.4	205
20.5	212
20.6	204
20.7	188
20.8	168
20.9	127
21.0	74
21.1	35
21.2	17
21.3	20
21.4	16
21.5	17
21.6	13
21.7	15
21.8	16
21.9	14
22.0	13
22.1	12
22.2	13
22.3	13
22.4	13
22.5	12
22.6	14
22.7	10
22.8	10
22.9	13
23.0	11
23.1	11
23.2	12
23.3	11
23.4	11
23.5	9
23.6	13
23.7	12
23.8	11
23.9	12
24.0	12
24.1	12
24.2	12
24.3	11
24.4	10
24.5	12
24.6	9
24.7	8
24.8	10
24.9	12
25.0	10
25.1	9
25.2	9
25.3	8
25.4	9
25.5	9
25.6	13
25.7	11
25.8	10
25.9	12
26.0	11
26.1	9
26.2	10
26.3	9
26.4	9
26.5	9
26.6	8
26.7	8
26.8	8
26.9	8
27.0	9
27.1	11
27.2	9
27.3	9
27.4	10
27.5	6
27.6	7
27.7	8
27.8	9
27.9	7
28.0	9
28.1	9
28.2	8
28.3	6
28.4	8
28.5	9
28.6	8
28.7	8
28.8	8
28.9	7
29.0	8
29.1	5
29.2	9
29.3	10
29.4	6
29.5	7
29.6	7
29.7	8
29.8	9
29.9	8
30.0	7
30.1	9
30.2	10
30.3	7
30.4	7
30.5	10
30.6	7
30.7	7
30.8	7
30.9	8
31.0	7
31.1	9
31.2	8
31.3	8
31.4	10
31.5	6
31.6	7
31.7	8
31.8	7
31.9	8
32.0	8
32.1	5
32.2	10
32.3	5
32.4	6
32.5	5
