Data saved on Tue, 27 Feb 2024 at 4:44 PM
Student name(s): 
Sample: 
Temperature: 
Comments: 
 
Freq. (Hz)   	Ch1 (V)      	Ch2 (V)      
150.00000	0.020592	-0.020073
160.00000	0.020592	-0.020073
170.00000	0.020592	-0.020073
180.00000	0.021950	-0.021416
190.00000	0.023323	-0.022759
200.00000	0.024689	-0.024094
210.00000	0.026055	-0.025437
220.00000	0.027428	-0.026779
230.00000	0.028786	-0.028122
240.00000	0.030152	-0.029465
250.00000	0.031510	-0.030792
260.00000	0.000000	0.000000
270.00000	0.000000	0.000000
280.00000	0.000000	0.000000
290.00000	0.000000	0.000000
300.00000	0.000000	0.000000
310.00000	0.000000	0.000000
320.00000	0.000000	0.000000
330.00000	0.000000	0.000000
340.00000	0.000000	0.000000
350.00000	0.000000	0.000000
360.00000	0.000000	0.000000
370.00000	0.000000	0.000000
380.00000	0.000000	0.000000
390.00000	0.000000	0.000000
400.00000	0.000000	0.000000
410.00000	0.000000	0.000000
420.00000	0.000000	0.000000
430.00000	0.000000	0.000000
440.00000	0.000000	0.000000
450.00000	0.000000	0.000000
460.00000	0.000000	0.000000
470.00000	0.000000	0.000000
480.00000	0.000000	0.000000
490.00000	0.000000	0.000000
500.00000	0.000000	0.000000
510.00000	0.000000	0.000000
520.00000	0.000000	0.000000
530.00000	0.000000	0.000000
540.00000	0.000000	0.000000
550.00000	0.000000	0.000000
560.00000	0.000000	0.000000
570.00000	0.000000	0.000000
580.00000	0.000000	0.000000
590.00000	0.000000	0.000000
600.00000	0.000000	0.000000
610.00000	0.000000	0.000000
620.00000	0.000000	0.000000
630.00000	0.000000	0.000000
640.00000	0.000000	0.000000
650.00000	0.000000	0.000000
660.00000	0.000000	0.000000
670.00000	0.000000	0.000000
680.00000	0.000000	0.000000
690.00000	0.000000	0.000000
700.00000	0.000000	0.000000
710.00000	0.000000	0.000000
720.00000	0.000000	0.000000
730.00000	0.000000	0.000000
740.00000	0.000000	0.000000
750.00000	0.000000	0.000000
760.00000	0.000000	0.000000
770.00000	0.000000	0.000000
780.00000	0.000000	0.000000
790.00000	0.000000	0.000000
800.00000	0.000000	0.000000
810.00000	0.000000	0.000000
820.00000	0.000000	0.000000
830.00000	0.000000	0.000000
840.00000	0.000000	0.000000
850.00000	0.000000	0.000000
860.00000	0.000000	0.000000
870.00000	0.000000	0.000000
880.00000	0.000000	0.000000
890.00000	0.000000	0.000000
900.00000	0.000000	0.000000
910.00000	0.000000	0.000000
920.00000	0.000000	0.000000
930.00000	0.000000	0.000000
940.00000	0.000000	0.000000
950.00000	0.000000	0.000000
960.00000	0.000000	0.000000
970.00000	0.000000	0.000000
980.00000	0.000000	0.000000
990.00000	0.000000	0.000000
1000.0000	0.000000	0.000000
1010.0000	0.000000	0.000000
1020.0000	0.000000	0.000000
1030.0000	0.000000	0.000000
1040.0000	0.000000	0.000000
1050.0000	0.000000	0.000000
1060.0000	0.000000	0.000000
1070.0000	0.000000	0.000000
1080.0000	0.000000	0.000000
1090.0000	0.000000	0.000000
1100.0000	0.000000	0.000000
