Data saved on Tue, 27 Feb 2024 at 4:58 PM
Student name(s): 
Sample: 
Temperature: 
Comments: 
 
Freq. (Hz)   	Ch1 (V)      	Ch2 (V)      
420.00000	0.064805	-0.064522
430.00000	0.064805	-0.064522
440.00000	0.064797	-0.064522
450.00000	0.066330	-0.066063
460.00000	0.067872	-0.067604
470.00000	0.069413	-0.069138
480.00000	0.070954	-0.070679
490.00000	0.072503	-0.072228
500.00000	0.074028	-0.073784
510.00000	0.075554	-0.075318
520.00000	0.077111	-0.076851
530.00000	0.078637	-0.078408
540.00000	0.000000	0.000000
550.00000	0.000000	0.000000
560.00000	0.000000	0.000000
570.00000	0.000000	0.000000
580.00000	0.000000	0.000000
590.00000	0.000000	0.000000
600.00000	0.000000	0.000000
610.00000	0.000000	0.000000
620.00000	0.000000	0.000000
630.00000	0.000000	0.000000
640.00000	0.000000	0.000000
650.00000	0.000000	0.000000
660.00000	0.000000	0.000000
670.00000	0.000000	0.000000
680.00000	0.000000	0.000000
690.00000	0.000000	0.000000
700.00000	0.000000	0.000000
710.00000	0.000000	0.000000
720.00000	0.000000	0.000000
730.00000	0.000000	0.000000
740.00000	0.000000	0.000000
750.00000	0.000000	0.000000
760.00000	0.000000	0.000000
770.00000	0.000000	0.000000
780.00000	0.000000	0.000000
790.00000	0.000000	0.000000
800.00000	0.000000	0.000000
810.00000	0.000000	0.000000
820.00000	0.000000	0.000000
830.00000	0.000000	0.000000
840.00000	0.000000	0.000000
850.00000	0.000000	0.000000
860.00000	0.000000	0.000000
870.00000	0.000000	0.000000
880.00000	0.000000	0.000000
890.00000	0.000000	0.000000
900.00000	0.000000	0.000000
910.00000	0.000000	0.000000
920.00000	0.000000	0.000000
930.00000	0.000000	0.000000
940.00000	0.000000	0.000000
950.00000	0.000000	0.000000
960.00000	0.000000	0.000000
970.00000	0.000000	0.000000
980.00000	0.000000	0.000000
990.00000	0.000000	0.000000
1000.0000	0.000000	0.000000
1010.0000	0.000000	0.000000
1020.0000	0.000000	0.000000
1030.0000	0.000000	0.000000
1040.0000	0.000000	0.000000
1050.0000	0.000000	0.000000
1060.0000	0.000000	0.000000
1070.0000	0.000000	0.000000
1080.0000	0.000000	0.000000
1090.0000	0.000000	0.000000
1100.0000	0.000000	0.000000
