Data saved on Tue, 27 Feb 2024 at 2:33 PM
Student name(s):
Sample:
Frequency:
Comments:

Freq. (Hz)   	Ch1 (V)      	Ch2 (V)
80.000000	0.144006	-0.142503
90.000000	0.143991	-0.142510
100.00000	0.011063	-0.010719
110.00000	0.012451	-0.012047
120.00000	0.013809	-0.013397
130.00000	0.015152	-0.014771
140.00000	0.016533	-0.016113
150.00000	0.017899	-0.017464
150.00000	0.020592	-0.020073
160.00000	0.020592	-0.020073
170.00000	0.020592	-0.020073
180.00000	0.021950	-0.021416
190.00000	0.023323	-0.022759
200.00000	0.024689	-0.024094
210.00000	0.026055	-0.025437
220.00000	0.027428	-0.026779
230.00000	0.028786	-0.028122
240.00000	0.030152	-0.029465
250.00000	0.031510	-0.030792
260.00000	0.034272	-0.033539
270.00000	0.034272	-0.033539
280.00000	0.035645	-0.034882
290.00000	0.037018	-0.036225
300.00000	0.038391	-0.037567
310.00000	0.039765	-0.038925
320.00000	0.041130	-0.040276
330.00000	0.042504	-0.041626
340.00000	0.043869	-0.042969
350.00000	0.045242	-0.044304
360.00000	0.046608	-0.045662
370.00000	0.047959	-0.047005
380.00000	0.049340	-0.048348
390.00000	0.050698	-0.049706
400.00000	0.052071	-0.051041
410.00000	0.053429	-0.052384
420.00000	0.000000	-0.053742
420.00000	0.064805	-0.064522
430.00000	0.064805	-0.064522
440.00000	0.064797	-0.064522
450.00000	0.066330	-0.066063
460.00000	0.067872	-0.067604
470.00000	0.069413	-0.069138
480.00000	0.070954	-0.070679
490.00000	0.072503	-0.072228
500.00000	0.074028	-0.073784
510.00000	0.075554	-0.075318
520.00000	0.077111	-0.076851
530.00000	0.078637	-0.078408
530.00000	0.072495	-0.071290
540.00000	0.072495	-0.071290
550.00000	0.072480	-0.071206
560.00000	0.073884	-0.072586
570.00000	0.075257	-0.073922
580.00000	0.076630	-0.075295
590.00000	0.078003	-0.076645
600.00000	0.079354	-0.078003
610.00000	0.080727	-0.079346
620.00000	0.082116	-0.080704
630.00000	0.083458	-0.082055
640.00000	0.084832	-0.083397
650.00000	0.086197	-0.084763
660.00000	0.087563	-0.086129
670.00000	0.088936	-0.087471
680.00000	0.090279	-0.088830
690.00000	0.091660	-0.090188
700.00000	0.093033	-0.091561
710.00000	0.094399	-0.092888
720.00000	0.095757	-0.094224
730.00000	0.097115	-0.095597
740.00000	0.098481	-0.096940
750.00000	0.099846	-0.098290
760.00000	0.101204	-0.099648
770.00000	0.102562	-0.100991
780.00000	0.103928	-0.102326
790.00000	0.106652	-0.105187
800.00000	0.106659	-0.105179
810.00000	0.108025	-0.106514
820.00000	0.109452	-0.107911
830.00000	0.110856	-0.109276
840.00000	0.112229	-0.110650
850.00000	0.113602	-0.112000
860.00000	0.114983	-0.113381
870.00000	0.116349	-0.114731
880.00000	0.117722	-0.116089
890.00000	0.119080	-0.117463
900.00000	0.120461	-0.118844
910.00000	0.121819	-0.120186
920.00000	0.123192	-0.121544
930.00000	0.124581	-0.122918
940.00000	0.125932	-0.124283
950.00000	0.127297	-0.125642
960.00000	0.128686	-0.127015
970.00000	0.130044	-0.128373
980.00000	0.131417	-0.129739
990.00000	0.132768	-0.131097
1000.0000	0.134141	-0.132447
1010.0000	0.135514	-0.133821
1020.0000	0.136880	-0.135171
1030.0000	0.138238	-0.136529
1040.0000	0.139588	-0.137933
1050.0000	0.140939	-0.139260
