Data saved on Tue, 27 Feb 2024 at 2:33 PM
Student name(s): 
Sample: 
Frequency: 
Comments: 
 
Temp. (K)   	Ch1 (V)      	Ch2 (V)      
78.219000	0.015568	0.000077
78.224000	0.015568	0.000062
78.231000	0.015569	0.000071
78.245000	0.015569	0.000071
78.261000	0.015569	0.000054
78.280000	0.015569	0.000056
78.308000	0.015569	0.000057
78.340000	0.015569	0.000057
78.361000	0.015569	0.000061
78.391000	0.015569	0.000069
78.426000	0.015570	0.000049
78.461000	0.015569	0.000057
78.494000	0.015569	0.000053
78.533000	0.015568	0.000054
78.575000	0.015568	0.000048
78.622000	0.015569	0.000051
78.656000	0.015569	0.000057
78.701000	0.015569	0.000052
78.759000	0.015567	0.000054
78.805000	0.015568	0.000048
78.840000	0.015568	0.000056
78.898000	0.015567	0.000051
78.956000	0.015567	0.000051
79.008000	0.015568	0.000057
79.045000	0.015567	0.000053
79.115000	0.015566	0.000078
79.175000	0.015566	0.000063
79.252000	0.015565	0.000088
79.308000	0.015566	0.000069
79.389000	0.015565	0.000052
79.470000	0.015565	0.000077
79.561000	0.015565	0.000075
79.631000	0.015564	0.000060
79.722000	0.015563	0.000062
79.826000	0.015563	0.000062
79.926000	0.015563	0.000056
80.001000	0.015562	0.000056
80.105000	0.015560	0.000060
80.217000	0.015560	0.000051
80.329000	0.015559	0.000071
80.438000	0.015559	0.000054
80.522000	0.015560	0.000054
80.629000	0.015560	0.000057
80.743000	0.015558	0.000049
80.868000	0.015558	0.000056
80.945000	0.015558	0.000044
81.068000	0.015556	0.000064
81.189000	0.015555	0.000055
81.317000	0.015555	0.000055
81.412000	0.015555	0.000058
81.545000	0.015555	0.000066
81.680000	0.015555	0.000053
81.838000	0.015555	0.000060
81.954000	0.015553	0.000062
82.112000	0.015552	0.000074
82.289000	0.015552	0.000080
82.473000	0.015550	0.000081
82.610000	0.015545	0.000055
82.801000	0.015542	0.000072
83.005000	0.015540	0.000062
83.203000	0.015538	0.000055
83.353000	0.015537	0.000071
83.570000	0.015536	0.000055
83.785000	0.015535	0.000061
83.995000	0.015535	0.000068
84.159000	0.015535	0.000057
84.371000	0.015534	0.000054
84.598000	0.015534	0.000057
84.818000	0.015533	0.000055
84.991000	0.015533	0.000052
85.210000	0.015532	0.000053
85.439000	0.015532	0.000062
85.664000	0.015530	0.000057
85.829000	0.015530	0.000062
86.058000	0.015530	0.000053
86.280000	0.015528	0.000062
86.509000	0.015528	0.000051
86.682000	0.015528	0.000057
86.916000	0.015528	0.000065
87.138000	0.015527	0.000071
87.376000	0.015527	0.000064
87.549000	0.015527	0.000072
87.780000	0.015526	0.000071
88.019000	0.015525	0.000074
88.260000	0.015527	0.000081
88.445000	0.015526	0.000057
88.720000	0.015525	0.000067
88.995000	0.015527	0.000061
89.293000	0.015527	0.000065
89.534000	0.015527	0.000071
89.861000	0.015528	0.000063
90.201000	0.015530	0.000062
90.556000	0.015532	0.000074
90.821000	0.015534	0.000062
91.185000	0.015537	0.000054
91.549000	0.015541	0.000052
91.919000	0.007319	-0.012636
92.199000	0.014654	-0.002869
92.577000	0.015560	-0.000050
92.957000	0.015572	-0.000051
93.331000	0.015583	-0.000047
93.626000	0.015598	-0.000061
94.013000	0.015607	0.000052
94.404000	-0.009877	-0.002090
94.789000	0.015652	0.000044
95.081000	0.015677	0.000037
95.484000	0.015709	0.000044
95.897000	0.015746	0.000041
96.312000	0.015788	0.000046
96.631000	0.015835	0.000043
97.074000	0.015893	0.000032
97.527000	0.015962	0.000016
98.003000	0.016037	0.000003
98.491000	0.016115	0.000012
98.875000	0.016201	-0.000004
99.415000	0.016284	-0.000016
99.974000	0.016365	-0.000007
100.55200	0.016432	-0.000022
100.99500	0.016491	-0.000025
101.60700	0.016554	-0.000024
102.21800	0.016613	-0.000021
102.84100	0.016655	-0.000044
103.32000	0.016689	-0.000047
103.95800	0.016717	-0.000050
104.59700	0.016743	-0.000047
