Data saved on Tue, 27 Feb 2024 at 4:22 PM
Student name(s): 
Sample: 
Frequency: 
Comments: 
 
Temp. (K)   	Ch1 (V)      	Ch2 (V)      
77.261000	0.017065	0.000134
77.261000	0.017066	0.000133
77.265000	0.017065	0.000133
77.270000	0.017067	0.000121
77.277000	0.017067	0.000136
77.284000	0.017065	0.000133
77.295000	0.017065	0.000133
77.312000	0.017065	0.000138
77.330000	0.017067	0.000141
77.335000	0.017065	0.000130
77.360000	0.017065	0.000141
77.376000	0.017066	0.000140
77.397000	0.017066	0.000134
77.411000	0.017064	0.000128
77.434000	0.017064	0.000131
77.455000	0.017066	0.000121
77.474000	0.017065	0.000124
77.494000	0.017064	0.000134
77.518000	0.017065	0.000133
77.545000	0.017066	0.000116
77.566000	0.017065	0.000119
77.594000	0.017065	0.000119
77.617000	0.017066	0.000128
77.645000	0.017065	0.000124
77.682000	0.017066	0.000123
77.696000	0.017066	0.000122
77.728000	0.017067	0.000128
77.758000	0.017064	0.000127
77.788000	0.017065	0.000114
77.814000	0.017065	0.000131
77.844000	0.017066	0.000128
77.881000	0.017066	0.000125
77.909000	0.017066	0.000128
77.946000	0.017065	0.000124
77.981000	0.017065	0.000130
78.011000	0.017064	0.000134
78.052000	0.017064	0.000143
78.075000	0.017064	0.000126
78.115000	0.017064	0.000139
78.156000	0.017065	0.000131
78.194000	0.017065	0.000134
78.229000	0.017065	0.000132
78.266000	0.017064	0.000131
78.301000	0.017064	0.000121
78.343000	0.017064	0.000133
78.370000	0.017065	0.000129
78.417000	0.017067	0.000119
78.454000	0.017065	0.000123
78.503000	0.017066	0.000126
78.533000	0.017064	0.000121
78.584000	0.017064	0.000134
78.629000	0.017065	0.000117
78.673000	0.017064	0.000118
78.715000	0.017065	0.000121
78.768000	0.017065	0.000122
78.822000	0.017064	0.000117
78.870000	0.017064	0.000108
78.910000	0.017064	0.000120
78.970000	0.017065	0.000126
79.024000	0.017064	0.000134
79.091000	0.017064	0.000133
79.140000	0.017065	0.000129
79.215000	0.017064	0.000134
79.284000	0.017064	0.000137
79.359000	0.017064	0.000134
79.410000	0.017064	0.000124
79.494000	0.017064	0.000135
79.582000	0.017064	0.000125
79.663000	0.017063	0.000124
79.729000	0.017064	0.000140
79.810000	0.017064	0.000118
79.894000	0.017063	0.000118
79.987000	0.017063	0.000128
80.049000	0.017064	0.000121
80.152000	0.017063	0.000120
80.247000	0.017063	0.000124
80.356000	0.017064	0.000129
80.436000	0.017064	0.000118
80.549000	0.017063	0.000128
80.661000	0.017064	0.000114
80.777000	0.017064	0.000120
80.889000	0.017064	0.000120
80.980000	0.017064	0.000121
81.091000	0.017064	0.000113
81.210000	0.017065	0.000119
81.317000	0.017064	0.000124
81.410000	0.017063	0.000117
81.519000	0.017064	0.000133
81.629000	0.017064	0.000128
81.729000	0.017064	0.000128
81.815000	0.017064	0.000131
81.917000	0.017063	0.000131
82.017000	0.017064	0.000130
82.126000	0.017063	0.000134
82.205000	0.017063	0.000124
82.312000	0.017064	0.000126
82.412000	0.017064	0.000137
82.519000	0.017064	0.000139
82.601000	0.017064	0.000116
82.708000	0.017063	0.000124
82.815000	0.017062	0.000134
82.926000	0.017063	0.000121
83.015000	0.017063	0.000134
83.133000	0.017064	0.000125
83.248000	0.017064	0.000117
83.371000	0.017064	0.000122
83.458000	0.017064	0.000119
83.584000	0.017064	0.000124
83.708000	0.017064	0.000119
83.841000	0.017063	0.000122
83.939000	0.017064	0.000124
84.077000	0.017064	0.000118
84.217000	0.017064	0.000123
84.360000	0.017064	0.000117
84.470000	0.017064	0.000120
84.626000	0.017065	0.000120
84.787000	0.017066	0.000119
84.963000	0.017064	0.000134
85.086000	0.017066	0.000141
85.276000	0.017067	0.000137
85.472000	0.017066	0.000132
85.678000	0.017067	0.000137
85.853000	0.017068	0.000131
86.079000	0.017068	0.000125
86.313000	0.017068	0.000136
86.554000	0.017069	0.000123
86.731000	0.017070	0.000113
86.977000	0.017069	0.000127
87.220000	0.017071	0.000117
87.463000	0.017071	0.000114
87.640000	0.017071	0.000124
87.888000	0.017072	0.000111
88.119000	0.017074	0.000129
88.365000	0.017074	0.000124
88.544000	0.017074	0.000113
88.797000	0.017076	0.000114
89.032000	0.017076	0.000116
89.283000	0.017077	0.000111
89.455000	0.017078	0.000122
89.692000	0.017078	0.000114
89.924000	0.017078	0.000113
90.178000	0.017080	0.000113
90.389000	0.017080	0.000126
90.743000	0.017082	0.000117
91.232000	0.017084	0.000121
91.811000	0.017084	0.000128
92.232000	0.017086	0.000131
92.757000	0.017090	0.000128
93.256000	0.017093	0.000139
93.758000	0.017096	0.000124
94.149000	0.017100	0.000126
94.683000	0.017104	0.000119
95.220000	0.017109	0.000131
95.774000	0.017113	0.000108
96.197000	0.017119	0.000126
96.767000	0.017122	0.000124
97.350000	0.017128	0.000113
97.928000	0.017133	0.000117
98.370000	0.017136	0.000117
98.960000	0.017142	0.000111
99.550000	0.017146	0.000113
100.14900	0.017150	0.000121
100.60400	0.017154	0.000112
101.20600	0.017159	0.000110
101.81500	0.017161	0.000112
102.42700	0.017167	0.000108
102.88400	0.017172	0.000114
103.50500	0.017177	0.000112
104.12100	0.017181	0.000110
104.74400	0.017184	0.000111
105.21300	0.017188	0.000110
105.83700	0.017192	0.000111
106.46700	0.017197	0.000114
107.08300	0.017200	0.000113
107.55900	0.017204	0.000115
108.19000	0.017208	0.000119
108.81600	0.017211	0.000119
109.44200	0.017215	0.000113
109.91900	0.017218	0.000116
110.54500	0.017222	0.000126
111.17300	0.017224	0.000131
111.80200	0.017229	0.000099
112.42600	0.017232	0.000099
112.89700	0.017235	0.000114
113.52300	0.017239	0.000099
114.14900	0.017242	0.000103
114.76600	0.017244	0.000113
115.23500	0.017248	0.000106
115.85400	0.017250	0.000119
116.46900	0.017253	0.000109
117.08500	0.017257	0.000108
117.54900	0.017260	0.000107
118.16400	0.017262	0.000104
118.78400	0.017264	0.000099
119.40200	0.017268	0.000098
119.85900	0.017270	0.000101
120.47400	0.017273	0.000098
121.08200	0.017275	0.000106
121.69800	0.017276	0.000095
122.15700	0.017279	0.000093
122.75300	0.017282	0.000104
123.36300	0.017284	0.000106
123.96400	0.017285	0.000102
124.42100	0.017288	0.000116
125.02400	0.017290	0.000114
125.61800	0.017292	0.000111
126.21000	0.017294	0.000102
126.64700	0.017297	0.000101
127.24300	0.017299	0.000105
127.83500	0.017301	0.000090
128.42600	0.017303	0.000093
128.86300	0.017305	0.000093
129.44500	0.017307	0.000090
130.02700	0.017308	0.000097
130.60900	0.017310	0.000093
131.03900	0.017312	0.000091
131.61600	0.017315	0.000102
132.18300	0.017316	0.000093
132.75500	0.017318	0.000093
133.17900	0.017319	0.000094
133.74700	0.017322	0.000084
134.32200	0.017324	0.000094
134.88500	0.017324	0.000080
135.31000	0.017326	0.000088
135.86800	0.017327	0.000093
136.42900	0.017328	0.000099
136.98900	0.017330	0.000093
137.40700	0.017330	0.000086
137.96300	0.017332	0.000099
138.50600	0.017332	0.000098
139.06200	0.017335	0.000094
139.47000	0.017337	0.000103
140.01400	0.017338	0.000093
140.56500	0.017339	0.000098
141.09900	0.017339	0.000098
141.50400	0.017342	0.000094
142.03800	0.017344	0.000083
142.57700	0.017344	0.000086
143.10600	0.017344	0.000082
143.50100	0.017347	0.000080
144.03100	0.017347	0.000086
144.55500	0.017347	0.000082
145.07900	0.017350	0.000092
145.47000	0.017350	0.000081
145.98400	0.017352	0.000083
146.50100	0.017352	0.000086
147.02100	0.017352	0.000079
147.39700	0.017354	0.000077
147.90900	0.017356	0.000074
148.41800	0.017357	0.000081
148.92500	0.017357	0.000074
149.30600	0.017359	0.000075
149.81000	0.017360	0.000081
150.30800	0.017360	0.000072
150.81300	0.017361	0.000077
151.30800	0.017363	0.000074
151.68400	0.017363	0.000086
152.17100	0.017364	0.000088
152.65900	0.017366	0.000097
153.15200	0.017366	0.000093
153.52200	0.017366	0.000086
154.00700	0.017368	0.000086
154.49300	0.017368	0.000088
154.97300	0.017368	0.000087
155.33600	0.017369	0.000081
155.81600	0.017370	0.000081
156.29200	0.017370	0.000077
156.76500	0.017372	0.000081
157.12300	0.017372	0.000081
157.59600	0.017373	0.000067
158.06100	0.017372	0.000084
158.52200	0.017374	0.000086
158.87000	0.017374	0.000084
159.33800	0.017374	0.000071
159.79900	0.017374	0.000075
160.25700	0.017375	0.000069
160.60000	0.017377	0.000072
161.05400	0.017377	0.000073
161.50700	0.017378	0.000072
161.95300	0.017378	0.000072
162.29200	0.017379	0.000086
162.73800	0.017379	0.000072
163.18400	0.017379	0.000069
163.62500	0.017380	0.000081
163.95800	0.017381	0.000083
164.39200	0.017382	0.000074
164.82800	0.017383	0.000099
165.26700	0.017382	0.000084
165.59600	0.017382	0.000088
166.02000	0.017384	0.000090
166.45100	0.017384	0.000086
166.87500	0.017384	0.000083
167.20600	0.017385	0.000079
167.62300	0.017385	0.000071
168.05100	0.017386	0.000069
168.47200	0.017386	0.000075
168.78300	0.017386	0.000077
169.20400	0.017387	0.000069
169.62200	0.017387	0.000080
170.03600	0.017387	0.000079
170.34900	0.017388	0.000075
170.76300	0.017388	0.000081
171.16700	0.017388	0.000069
171.58100	0.017389	0.000076
171.89100	0.017390	0.000080
172.29700	0.017389	0.000071
172.69600	0.017389	0.000072
173.09300	0.017390	0.000066
173.39500	0.017390	0.000077
173.79800	0.017390	0.000076
174.19900	0.017390	0.000071
174.59500	0.017391	0.000069
174.89200	0.017391	0.000080
175.28300	0.017390	0.000093
175.67200	0.017392	0.000097
176.06300	0.017392	0.000066
176.35700	0.017392	0.000085
176.74400	0.017393	0.000084
177.13000	0.017394	0.000084
177.50600	0.017394	0.000071
177.80000	0.017394	0.000072
178.18400	0.017394	0.000072
178.56800	0.017395	0.000069
178.93900	0.017394	0.000073
179.22400	0.017394	0.000072
179.59800	0.017394	0.000074
179.96600	0.017395	0.000071
180.34500	0.017394	0.000075
180.62000	0.017396	0.000071
180.97900	0.017397	0.000085
181.35000	0.017397	0.000064
181.72400	0.017398	0.000065
181.99100	0.017397	0.000072
182.35500	0.017398	0.000056
182.71900	0.017397	0.000064
183.07300	0.017397	0.000068
183.43300	0.017397	0.000072
183.69900	0.017397	0.000078
184.05500	0.017397	0.000066
184.41100	0.017399	0.000073
184.76400	0.017399	0.000078
185.02800	0.017398	0.000089
