Data saved on Tue, 27 Feb 2024 at 3:52 PM
Student name(s): 
Sample: 
Frequency: 
Comments: 
 
Temp. (K)   	Ch1 (V)      	Ch2 (V)      
101.36800	0.017011	0.000126
101.36800	0.017011	0.000140
101.50700	0.017011	0.000130
101.66600	0.017010	0.000133
101.79600	0.017009	0.000146
101.98100	0.017009	0.000133
102.16600	0.017011	0.000131
102.36500	0.017010	0.000134
102.57600	0.017009	0.000137
102.73000	0.017009	0.000139
102.95500	0.017010	0.000132
103.18500	0.017010	0.000128
103.42200	0.017009	0.000139
103.60200	0.017010	0.000142
103.83700	0.017011	0.000134
104.07600	0.017010	0.000143
104.31800	0.017009	0.000144
104.50500	0.017009	0.000136
104.74400	0.017009	0.000149
104.98600	0.017010	0.000136
105.22500	0.017009	0.000131
105.41000	0.017010	0.000151
105.65700	0.017011	0.000143
105.89800	0.017010	0.000149
106.14000	0.017010	0.000136
106.32700	0.017010	0.000138
106.57400	0.017011	0.000133
106.82000	0.017011	0.000147
107.06700	0.017011	0.000134
107.24000	0.017011	0.000126
107.48800	0.017011	0.000134
107.73200	0.017011	0.000135
107.97200	0.017011	0.000136
108.15200	0.017011	0.000126
108.40200	0.017012	0.000136
108.64700	0.017011	0.000128
108.90200	0.017012	0.000134
109.09000	0.017011	0.000134
109.34000	0.017011	0.000132
109.60900	0.017012	0.000139
109.88300	0.017014	0.000141
110.09200	0.017014	0.000127
110.40400	0.017014	0.000133
110.72800	0.017014	0.000141
111.06100	0.017016	0.000149
111.31100	0.017016	0.000135
111.65200	0.017016	0.000151
111.99900	0.017017	0.000136
112.35400	0.017017	0.000150
112.62600	0.017018	0.000149
112.99700	0.017018	0.000153
113.38300	0.017018	0.000146
113.77300	0.017020	0.000140
114.07800	0.017020	0.000133
114.51600	0.017021	0.000122
114.98300	0.017021	0.000145
115.46400	0.017022	0.000144
115.84000	0.017023	0.000137
116.34900	0.017024	0.000134
116.86100	0.017024	0.000143
117.38000	0.017026	0.000137
117.77300	0.017028	0.000132
118.28900	0.017028	0.000131
118.82300	0.017029	0.000126
119.34700	0.017031	0.000132
119.74800	0.017032	0.000135
120.27400	0.017033	0.000126
120.79900	0.017034	0.000133
121.33000	0.017036	0.000146
121.72200	0.017036	0.000134
122.25300	0.017036	0.000130
122.77900	0.017038	0.000150
123.31100	0.017039	0.000140
123.71200	0.017038	0.000143
124.23800	0.017039	0.000161
124.77000	0.017040	0.000136
125.30300	0.017040	0.000137
125.70200	0.017042	0.000151
126.23100	0.017043	0.000143
126.76200	0.017044	0.000146
127.28700	0.017043	0.000134
127.68300	0.017045	0.000134
128.22200	0.017046	0.000121
128.75300	0.017044	0.000145
129.27200	0.017047	0.000132
129.80800	0.017047	0.000135
130.19800	0.017047	0.000136
130.72900	0.017047	0.000135
131.25000	0.017048	0.000149
131.77900	0.017049	0.000133
132.16900	0.017049	0.000128
132.69800	0.017049	0.000134
133.21700	0.017049	0.000138
133.74200	0.017049	0.000131
134.14200	0.017049	0.000134
134.66900	0.017048	0.000132
135.19100	0.017048	0.000138
135.71500	0.017049	0.000135
136.10800	0.017049	0.000134
136.62800	0.017049	0.000139
137.15700	0.017047	0.000137
137.67400	0.017045	0.000140
138.05500	0.017045	0.000145
138.57200	0.017044	0.000141
139.08900	0.017044	0.000148
139.60600	0.017044	0.000146
139.98900	0.017042	0.000145
140.49900	0.017042	0.000150
141.01600	0.017040	0.000134
141.52100	0.017039	0.000131
141.90200	0.017038	0.000134
142.40400	0.017038	0.000136
142.91400	0.017036	0.000130
143.41900	0.017035	0.000130
143.80000	0.017034	0.000139
144.31000	0.017032	0.000133
144.82700	0.017032	0.000141
145.34100	0.017033	0.000124
145.73900	0.017033	0.000128
146.27600	0.017033	0.000131
146.81000	0.017036	0.000128
147.36100	0.017039	0.000129
147.77600	0.017042	0.000133
148.33500	0.017049	0.000130
148.90300	0.017054	0.000138
149.48100	0.017059	0.000132
149.91000	0.017066	0.000128
150.49600	0.017071	0.000135
151.06700	0.017077	0.000138
151.64700	0.017081	0.000141
152.08400	0.017086	0.000154
152.64700	0.017091	0.000131
153.22800	0.017096	0.000143
153.79400	0.017100	0.000150
154.23000	0.017104	0.000140
154.79900	0.017109	0.000140
155.36300	0.017113	0.000127
155.91900	0.017118	0.000132
156.33800	0.017121	0.000134
156.89900	0.017123	0.000133
157.45300	0.017128	0.000126
158.00700	0.017131	0.000134
158.41900	0.017136	0.000131
158.95800	0.017139	0.000128
159.50500	0.017142	0.000133
160.04700	0.017146	0.000125
160.45600	0.017148	0.000126
160.99300	0.017151	0.000134
161.52400	0.017155	0.000132
162.05400	0.017158	0.000130
162.45300	0.017160	0.000127
162.97800	0.017163	0.000134
163.50000	0.017167	0.000133
164.02700	0.017168	0.000130
