Data saved on Tue, 27 Feb 2024 at 3:36 PM
Student name(s): 
Sample: 
Frequency: 
Comments: 
 
Temp. (K)   	Ch1 (V)      	Ch2 (V)      
140.87000	0.016893	0.000133
141.28500	0.017601	0.000084
141.60300	0.017601	0.000071
142.02300	0.017600	0.000069
142.44600	0.017600	0.000071
142.86600	0.017600	0.000081
143.18600	0.017600	0.000061
143.60600	0.017600	0.000075
144.02300	0.017599	0.000073
144.44800	0.017599	0.000066
144.75900	0.017600	0.000072
145.17900	0.017600	0.000059
145.60300	0.017599	0.000072
146.02300	0.017600	0.000066
146.33200	0.017600	0.000073
146.75900	0.017600	0.000066
147.18600	0.017600	0.000055
147.59900	0.017600	0.000067
147.91400	0.017600	0.000072
148.33700	0.017599	0.000079
148.76400	0.017600	0.000072
149.18100	0.017600	0.000079
149.49800	0.017601	0.000076
149.92300	0.017601	0.000074
150.34700	0.017600	0.000081
150.76700	0.017601	0.000074
151.08100	0.017601	0.000074
151.50100	0.017600	0.000077
151.91800	0.017600	0.000077
152.34200	0.017600	0.000081
152.65700	0.017601	0.000062
153.07100	0.017600	0.000063
153.49300	0.017600	0.000069
153.91700	0.017600	0.000074
154.22100	0.017600	0.000064
154.64200	0.017600	0.000072
155.06100	0.017601	0.000077
155.47800	0.017601	0.000069
155.78900	0.017601	0.000073
156.20600	0.017601	0.000070
156.62000	0.017601	0.000059
157.03400	0.017601	0.000076
157.34300	0.017601	0.000066
157.75500	0.017603	0.000066
158.17400	0.017603	0.000060
158.57600	0.017603	0.000072
158.88700	0.017603	0.000072
159.29200	0.017603	0.000079
159.69600	0.017602	0.000074
160.11300	0.017603	0.000070
160.41700	0.017602	0.000075
160.82100	0.017603	0.000096
161.22500	0.017603	0.000082
161.63500	0.017603	0.000070
161.93400	0.017604	0.000077
162.33100	0.017603	0.000087
162.73300	0.017604	0.000072
163.13000	0.017603	0.000092
163.43100	0.017603	0.000069
163.82800	0.017604	0.000070
164.22500	0.017605	0.000074
164.62300	0.017605	0.000069
164.91700	0.017605	0.000062
165.30900	0.017603	0.000069
165.70300	0.017603	0.000073
166.08300	0.017604	0.000072
166.37500	0.017605	0.000068
166.77400	0.017605	0.000070
167.16200	0.017605	0.000064
167.54200	0.017604	0.000066
167.92400	0.017605	0.000062
168.22100	0.017605	0.000062
168.60800	0.017605	0.000069
168.99200	0.017605	0.000076
169.37400	0.017604	0.000070
169.65400	0.017605	0.000070
170.04100	0.017603	0.000074
170.41800	0.017604	0.000068
170.80200	0.017605	0.000074
171.08300	0.017603	0.000085
171.46000	0.017603	0.000075
171.83900	0.017604	0.000069
172.21400	0.017605	0.000078
172.48900	0.017604	0.000084
172.86900	0.017603	0.000081
173.24100	0.017604	0.000083
173.61500	0.017603	0.000069
173.89500	0.017604	0.000064
174.26800	0.017605	0.000085
174.63200	0.017605	0.000064
174.99900	0.017604	0.000064
175.27800	0.017605	0.000074
175.64200	0.017605	0.000070
176.01300	0.017604	0.000071
176.37200	0.017604	0.000071
176.64700	0.017605	0.000072
177.00600	0.017605	0.000065
177.36700	0.017604	0.000071
177.72900	0.017604	0.000069
177.99900	0.017605	0.000067
178.35700	0.017605	0.000061
178.71100	0.017604	0.000074
179.07000	0.017604	0.000068
179.32800	0.017603	0.000069
179.68900	0.017604	0.000075
180.04300	0.017605	0.000079
180.39000	0.017605	0.000070
180.65400	0.017604	0.000085
181.00600	0.017603	0.000070
181.35000	0.017603	0.000066
181.69400	0.017604	0.000072
181.95400	0.017603	0.000075
182.29600	0.017604	0.000077
